place,full_name,lon,lat,y15,y16,y17,y18
大兴,大兴黄村镇,116.404,39.718,121,110,52,47
顺义,顺义新城,116.655,40.127,108,80,49,44
昌平,昌平镇,116.23,40.217,83,59,45,37
门头沟,门头沟龙泉镇,116.106,39.937,82,61,48,39
平谷,平谷镇,117.1,40.143,89,69,54,42
怀柔,怀柔镇,116.628,40.328,85,62,42,35
延庆,延庆镇,115.972,40.453,75,68,37,40
密云水库,京东北密云水库，京东北区域点,116.911,40.499,62,44,32,30
永乐店,京东南永乐店，京东南区域点,116.783,39.712,133,115,74,69
榆垡,京南榆垡，京南区域点,116.3,39.52,116,122,69,74
琉璃河,京西南琉璃河，京西南区域点,116.0,39.58,149,125,79,75
前门,前门东大街，前门交通点,116.395,39.899,109,96,54,49
