place,full_name,lon,lat,a1,a2,a3,a4,b1,b2,b3,b4,c1,c2,c3,c4,d1,d2,d3,d4
东四,东城东四,116.417,39.929,36,23,16,41,23,17,20,42,28,8,7,14,20,14,1,15
天坛,东城天坛,116.40700000000001,39.885999999999996,33,19,12,41,23,12,13,37,24,6,3,13,18,8,0,14
官园,西城官园,116.339,39.929,31,19,16,41,22,13,21,38,26,7,6,13,17,11,1,14
万寿西宫,西城万寿西宫,116.352,39.878,36,18,11,41,25,10,15,40,27,6,6,14,19,10,0,13
奥体中心,朝阳奥体中心,116.397,39.982,35,21,15,40,24,11,15,36,25,5,4,13,17,12,0,12
农展馆,朝阳农展馆,116.461,39.937,39,22,11,41,24,15,16,39,28,6,4,14,19,10,0,12
万柳,海淀万柳,116.287,39.986999999999995,35,22,12,37,23,10,13,34,24,6,4,11,16,11,1,11
北部新区,海淀北部新区,116.17399999999999,40.09,38,19,10,39,25,18,12,35,29,7,6,12,19,11,0,10
植物园,海淀北京植物园,116.20700000000001,40.001999999999995,32,18,9,29,19,10,10,28,24,6,7,8,0,0,0,0
丰台花园,丰台花园,116.279,39.863,41,25,9,41,26,15,14,43,28,8,8,14,20,14,1,16
云岗,丰台云岗,116.146,39.824,38,18,8,36,24,10,13,37,31,5,3,10,18,10,0,13
古城,石景山古城,116.184,39.914,36,21,9,41,23,10,13,38,27,8,4,12,18,14,0,13
房山,房山良乡,116.13600000000001,39.742,47,21,11,45,33,14,11,43,29,4,4,13,20,12,0,16
大兴,大兴黄村镇,116.404,39.718,47,18,12,44,32,16,15,47,31,7,4,10,21,7,1,18
亦庄,亦庄开发区,116.506,39.795,44,22,11,46,30,13,16,38,34,9,5,12,21,8,1,15
通州,通州新城,116.663,39.885999999999996,48,19,11,42,27,11,16,39,33,10,5,15,20,10,1,18
顺义,顺义新城,116.655,40.126999999999995,37,22,11,38,24,11,12,33,26,6,5,12,19,13,0,12
昌平,昌平镇,116.23,40.217,32,16,7,28,16,5,6,32,24,5,6,10,14,11,1,11
门头沟,门头沟龙泉镇,116.10600000000001,39.937,33,15,4,30,17,6,7,31,28,8,3,9,17,11,0,11
平谷,平谷镇,117.1,40.143,35,13,5,36,23,9,7,30,30,6,6,12,19,10,0,13
怀柔,怀柔镇,116.62799999999999,40.328,29,16,6,34,18,6,11,27,24,5,4,9,15,10,0,10
密云,密云镇,116.83200000000001,40.37,33,13,4,33,18,11,7,27,22,6,4,10,15,12,0,11
延庆,延庆镇,115.97200000000001,40.453,29,9,5,32,20,8,9,31,21,4,5,7,14,16,1,9
定陵,昌平定陵,116.22,40.292,31,14,6,29,17,9,7,30,22,4,5,9,14,11,0,9
八达岭,京西北八达岭，京西北区域点,115.988,40.365,22,13,9,16,9,9,12,6,17,3,4,7,13,13,3,10
密云水库,京东北密云水库，京东北区域点,116.911,40.499,25,11,3,23,14,6,1,23,18,4,3,7,11,9,2,8
东高村,京东东高村，京东区域点,117.12,40.1,28,26,10,37,18,8,7,30,26,7,9,11,18,12,0,15
永乐店,京东南永乐店，京东南区域点,116.78299999999999,39.711999999999996,49,25,12,47,33,14,17,51,38,8,7,21,29,12,2,26
榆垡,京南榆垡，京南区域点,116.3,39.52,49,16,6,45,42,15,12,53,39,10,4,16,33,13,2,26
琉璃河,京西南琉璃河，京西南区域点,116.0,39.58,63,24,14,48,50,9,8,58,44,7,4,24,31,15,1,28
前门,前门东大街，前门交通点,116.395,39.899,38,21,15,35,24,15,16,41,26,8,6,14,20,11,2,16
永定门内,永定门内大街，永定门交通点,116.39399999999999,39.876,40,19,13,42,27,12,17,42,28,8,8,16,21,11,3,18
西直门北,西直门北大街，西直门交通点,116.34899999999999,39.954,37,21,9,41,24,13,17,40,27,6,6,16,20,14,3,13
南三环,南三环西路，南三环交通点,116.368,39.856,41,26,15,43,28,20,18,43,30,11,2,16,21,11,0,17
东四环,东四环北路，东四环交通点,116.48299999999999,39.939,45,20,11,42,25,16,13,44,28,7,7,15,19,12,0,16
