region,lon,lat,y15,y16,y17,y18
Tongzhou,116.72823263551408,39.804890393977615,126.0,104.0,68.0,59.0
Yanqing,116.15698950593658,40.53807630892583,68.0,52.0,34.0,40.0
Huairou,116.59987301744655,40.729164584652536,85.0,62.0,42.0,35.0
Miyun,116.98348449413191,40.52464059623095,72.0,54.0,37.0,34.0
Pinggu,117.13406285304787,40.20749721476847,85.0,58.0,48.0,45.0
Beijing,116.33200340383979,39.945016474212686,109.0,91.0,53.0,42.0
Daxing,116.4127427034536,39.64744516503785,120.0,110.0,60.0,55.0
Shunyi,116.71824673665024,40.14768704883019,108.0,80.0,49.0,44.0
Mentougou,115.78246206103789,39.99611941196016,82.0,61.0,48.0,39.0
Changping,116.20381156798895,40.21341258579876,82.0,61.0,42.0,36.0
Fangshan,115.85061387909649,39.72076804144802,136.0,113.0,64.0,62.0
